City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
152,La Plata,AR,2020-11-08 00:38:02,-34.92,-57.95,64.99,81,0,1.99,clear sky
153,Ancud,CL,2020-11-08 00:39:12,-41.87,-73.82,55.99,62,5,12.75,clear sky
154,Mar Del Plata,AR,2020-11-08 00:39:12,-38.0,-57.56,62.01,93,0,5.82,clear sky
155,Paracuru,BR,2020-11-08 00:39:12,-3.41,-39.03,80.6,78,20,8.05,few clouds
156,Flin Flon,CA,2020-11-08 00:39:12,54.77,-101.86,17.6,85,90,10.29,light snow
157,Zapolyarnyy,RU,2020-11-08 00:39:12,69.42,30.81,33.8,86,100,27.51,overcast clouds
158,Tiruchchendur,IN,2020-11-08 00:39:13,8.48,78.12,80.62,80,99,14.88,light rain
159,Vestmannaeyjar,IS,2020-11-08 00:39:13,63.44,-20.27,44.17,68,100,17.56,overcast clouds
160,Labuhan,ID,2020-11-08 00:39:15,-6.88,112.21,82.94,71,74,7.31,broken clouds
161,Flagstaff,US,2020-11-08 00:39:15,35.2,-111.65,39.0,86,90,10.29,overcast clouds
162,Kavieng,PG,2020-11-08 00:39:15,-2.57,150.8,85.78,64,34,6.2,scattered clouds
163,Huamachuco,PE,2020-11-08 00:39:16,-7.8,-78.07,51.85,75,78,1.92,light rain
164,Provideniya,RU,2020-11-08 00:38:18,64.38,-173.3,28.27,93,0,2.84,clear sky
165,Hualmay,PE,2020-11-08 00:39:16,-11.1,-77.61,61.29,85,25,4.81,scattered clouds
166,Rongcheng,CN,2020-11-08 00:39:08,30.63,117.85,61.0,67,0,2.8,clear sky
167,Khatanga,RU,2020-11-08 00:39:16,71.97,102.5,-4.45,86,0,12.44,clear sky
168,Pimentel,PE,2020-11-08 00:39:16,-6.84,-79.93,64.4,77,0,13.87,clear sky
169,Castro,BR,2020-11-08 00:39:16,-24.79,-50.01,60.71,59,0,5.77,clear sky
170,Namatanai,PG,2020-11-08 00:37:34,-3.67,152.43,84.69,67,39,2.86,scattered clouds
171,Lasa,IT,2020-11-08 00:39:16,46.62,10.7,42.01,86,5,2.01,clear sky
172,Pevek,RU,2020-11-08 00:39:16,69.7,170.31,15.04,96,98,2.55,overcast clouds
173,Manoharpur,IN,2020-11-08 00:39:16,27.3,75.95,62.6,51,0,1.59,haze
174,Gumdag,TM,2020-11-08 00:34:39,39.21,54.59,54.07,84,100,2.53,light rain
175,Lashio,MM,2020-11-08 00:39:16,22.93,97.75,63.9,81,3,1.36,clear sky
176,Kapoeta,SS,2020-11-08 00:39:16,4.77,33.59,76.75,69,100,4.25,moderate rain
177,Nantucket,US,2020-11-08 00:38:34,41.28,-70.1,57.2,82,1,10.29,clear sky
178,Hithadhoo,MV,2020-11-08 00:39:16,-0.6,73.08,83.77,71,11,7.87,few clouds
179,Port Lincoln,AU,2020-11-08 00:37:54,-34.73,135.87,65.71,58,75,17.67,broken clouds
180,Upernavik,GL,2020-11-08 00:39:17,72.79,-56.15,1.58,78,83,7.99,broken clouds
181,Gotsu,JP,2020-11-08 00:39:17,35.0,132.22,64.4,42,20,11.41,few clouds
182,Coihaique,CL,2020-11-08 00:36:01,-45.58,-72.07,57.2,50,0,3.36,clear sky
183,Predivinsk,RU,2020-11-08 00:39:17,57.07,93.44,37.33,86,86,8.28,overcast clouds
184,Albion,US,2020-11-08 00:39:18,42.24,-84.75,59.0,62,1,3.36,clear sky
185,Canyon,US,2020-11-08 00:35:20,34.98,-101.92,63.0,59,0,5.01,clear sky
