City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
160,Labuhan,ID,82.94,broken clouds,-6.88,112.21,bador sepret
162,Kavieng,PG,85.78,scattered clouds,-2.57,150.8,Nusa Island Retreat
170,Namatanai,PG,84.69,scattered clouds,-3.67,152.43,Namatanai Hotel
176,Kapoeta,SS,76.75,moderate rain,4.77,33.59,Eastgate Hotel
178,Hithadhoo,MV,83.77,few clouds,-0.6,73.08,Scoop Guest House
191,Novo Aripuana,BR,76.93,few clouds,-5.12,-60.38,Hotel Ypê
195,Victoria,HK,77.0,overcast clouds,22.29,114.16,Mini Hotel Central
201,Nouakchott,MR,80.6,clear sky,18.09,-15.98,Hôtel Iman
208,Pilar,BR,77.0,scattered clouds,-9.6,-35.96,Pousada e churrascaria Manguaba
210,Kita,ML,75.43,clear sky,13.03,-9.49,Hôtel Nelson Mandela
214,Sarangani,PH,83.23,broken clouds,5.4,125.46,Ballistic Islet
215,Ketou,BJ,75.76,overcast clouds,7.36,2.6,Residences Celine Hotel Ketou
218,Oussouye,SN,82.4,clear sky,12.48,-16.55,Auberge du Routard
221,Kotagiri,IN,75.2,mist,11.43,76.88,Lakshmi Holiday Inn
222,Vanimo,PG,76.75,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
228,Praia,CV,77.0,clear sky,14.92,-23.51,LT Aparthotel
232,Talca,CL,77.0,clear sky,-35.43,-71.67,Casa de Huespedes Marbargla
233,Port Hedland,AU,89.6,clear sky,-20.32,118.57,The Esplanade Hotel
236,Kaeo,NZ,75.0,clear sky,-35.1,173.78,Bushido Lodge
240,Nuqui,CO,76.62,overcast clouds,5.71,-77.27,Hotel Nuquimar
248,Huatulco,MX,82.4,few clouds,15.84,-96.33,Fonatur Operadora Portuaría
251,Rock Sound,BS,79.99,overcast clouds,24.9,-76.2,Rock Sound Club
258,Padang,ID,78.15,overcast clouds,-0.95,100.35,Mercure Padang
266,Sesheke,ZM,77.7,clear sky,-17.48,24.3,Protea Hotel by Marriott Zambezi River Lodge
267,Daliao,PH,80.6,scattered clouds,5.86,124.95,Joel L. Pagaran
268,Bathsheba,BB,80.6,few clouds,13.22,-59.52,Atlantis Hotel
273,Tuy Hoa,VN,76.21,light rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
275,Zaraza,VE,75.63,scattered clouds,9.35,-65.32,Hotel Zaraza
283,Tual,ID,82.72,overcast clouds,-5.67,132.75,Grand Vilia Hotel
284,Akyab,MM,76.24,clear sky,20.15,92.9,Hotel Memory
285,Humberto De Campos,BR,79.3,scattered clouds,-2.6,-43.46,Pousada do Cabeça
287,Praya,CV,77.0,clear sky,14.92,-23.51,LT Aparthotel
289,Hirara,JP,78.8,scattered clouds,24.8,125.28,Hotel Atoll Emerald Miyakojima
291,Manadhoo,MV,82.96,light rain,5.77,73.38,Vevu Guesthouse
294,Tagusao,PH,82.22,light rain,9.19,117.81,"Shaman's Breath- Beach, Bed & Breakfast"
308,Dingle,PH,80.51,few clouds,11.0,122.67,SEGAYA PROPERTY
309,Hilo,US,75.2,mist,19.73,-155.09,Hilo Hawaiian Hotel
310,Ixtapa,MX,82.4,broken clouds,20.7,-105.2,Container Inn Puerto Vallarta
324,Bambanglipuro,ID,82.26,broken clouds,-7.95,110.28,Puri Brata
327,Tutoia,BR,81.36,clear sky,-2.76,-42.27,Pousada Guará's
331,Dogondoutchi,NE,77.11,overcast clouds,13.64,4.03,Hôtel Alheri Maison Alheri
333,Portobelo,PA,81.0,clear sky,9.55,-79.65,Scuba Portobelo
338,Kudahuvadhoo,MV,84.0,overcast clouds,2.67,72.89,Kudahuvadhoo Retreat
339,Almeirim,BR,79.29,scattered clouds,-1.52,-52.58,Ricácio Hotel
342,Luanda,AO,78.8,scattered clouds,-8.84,13.23,EPIC SANA Luanda
348,Atar,MR,83.48,scattered clouds,20.52,-13.05,Oumou Elghoura
358,Touros,BR,80.6,scattered clouds,-5.2,-35.46,INN NEW HORIZON
359,Kahului,US,89.6,scattered clouds,20.89,-156.47,Maui Seaside Hotel
371,Bandraboua,YT,77.0,clear sky,-12.7,45.12,Stade de Bandraboua
375,Cayenne,GF,78.8,clear sky,4.93,-52.33,Hôtel Le Dronmi
377,Nortelandia,BR,81.81,overcast clouds,-14.45,-56.8,Hotel Karysmã
380,Carutapera,BR,79.86,overcast clouds,-1.2,-46.02,Lidera
383,Port Blair,IN,82.58,clear sky,11.67,92.75,Fortune Resort Bay Island
386,Matara,LK,77.22,broken clouds,5.95,80.54,Amaloh Boutique Resort
387,Buala,SB,85.24,light rain,-8.14,159.59,Maringe Lagoon Lodge
390,Morant Bay,JM,78.8,broken clouds,17.88,-76.41,Whispering Bamboo Cove Resort
393,Cockburn Town,TC,79.38,light rain,21.46,-71.14,Osprey Beach Hotel
398,Beira,MZ,75.2,clear sky,-19.84,34.84,Beira Terrace Hotel
400,Beruwala,LK,78.22,clear sky,6.48,79.98,The Palms Hotel
403,La Asuncion,VE,82.4,clear sky,11.03,-63.86,Colinas de Matasiete
414,Auki,SB,87.66,few clouds,-8.77,160.7,Auki Motel
416,Caucaia,BR,80.6,few clouds,-3.74,-38.65,M.O.S. Logística - Filial Fortaleza
421,Libreville,GA,75.2,light rain,0.39,9.45,Hotel Re-Ndama
423,Porto Novo,BJ,80.6,light rain,6.5,2.6,Tour Eiffel Hotel Benin
425,Villa Guerrero,MX,78.8,few clouds,18.87,-99.65,"Ixtapan de la Sal Marriott Hotel, Spa & Convention Center"
430,Tautira,PF,84.2,broken clouds,-17.73,-149.15,Pension Oaoa
431,Isangel,VU,84.2,broken clouds,-19.55,169.27,Volcano Sea View Tree House
